id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Backroad Sunset,Wyatt Cole,country,nostalgic,0.55,100,0.68,0.55,0.48
12,Velvet Whisper,Simone Marchetti,R&B,romantic,0.48,88,0.66,0.70,0.40
13,Iron Cage,Grim Voltage,metal,angry,0.97,168,0.28,0.52,0.03
14,Harvest Moon Waltz,Elena Ashworth,classical,dreamy,0.30,66,0.58,0.20,0.95
15,Concrete Dreams,MC Lyric Flow,hip hop,energetic,0.80,95,0.72,0.90,0.08
16,Island Sway,Tommy Rootwater,reggae,relaxed,0.45,78,0.75,0.68,0.44
17,Weeping Willow,Clara Duskfield,folk,sad,0.25,68,0.30,0.35,0.83
18,Neon Pulse Overdrive,DJ Kryotek,EDM,triumphant,0.95,128,0.86,0.85,0.04
19,Delta Sundown,Otis Renard,blues,moody,0.40,72,0.42,0.48,0.60
